idVende,nomVende,rucVende,tefVende
1,Desarrollo Pineda & Asociados S.Com.,20104332181,996001338
2,Minería Integrales S.L.,20908386379,940265423
3,Finanzas ZWT S.L.,20511615594,907816184
4,Supermercados Valderrama y asociados S.L.L.,20959310341,931647525
5,Transportes Malo S.Com.,20534192832,976483503
6,Farmaceútica del Noroeste S.A.,20056413953,976724238
7,Fábrica Mate S.L.,20849696532,987101226
8,Banco Ródenas S.Com.,20916697848,901845146
9,Consultoría del Norte S.L.,20270482814,989325288
10,Logística Ibañez S.Com.,20095701543,903911718
11,Ródenas y Canales S.Coop.,20227824896,938346578
12,Desarrollo Prada S.Coop.,20713315098,939301031
13,Comercial Globales S.Coop.,20051834738,929973763
14,Tecnologías del Sur S.Coop.,20116566701,906513338
15,Servicios SUVY S.L.N.E,20726247317,981080132
16,Maestre y asociados S.A.,20677360260,964746872
17,Familia Ojeda S.Coop.,20343098050,909788208
18,Berta Hierro Viña S.L.N.E,20121913619,939909169
19,Banca Privada ZBW S.Coop.,20985435346,924751079
20,Maldonado y Morata S.A.,20911838425,913542784
